"size_class","term","estimate","se","z","p"
"Legal","(Intercept)",1.13082940475723,0.11906865451231,9.49728884893313,2.15425836261205e-21
"Legal","statusInside NPZ",0.200303144306229,0.187433963163756,1.06865981450347,0.285222985385742
"Legal","year2026",-1.18461854958413,0.221991222118862,-5.33633059126027,9.48464046745214e-08
"Legal","depth_z",0.249257106663753,0.0838130514709991,2.97396529882939,0.00293978318850166
"Legal","statusInside NPZ:year2026",0.346456390978269,0.327642711262523,1.05742132838314,0.290319341780968
"Sublegal","(Intercept)",0.676705574883585,0.179168057693728,3.77693202457077,0.00015877204114162
"Sublegal","statusInside NPZ",-1.16056331084443,0.37580696571147,-3.08818999309201,0.00201379678610094
"Sublegal","year2026",0.029808810193836,0.257167003181162,0.115912266445929,0.907722074010523
"Sublegal","depth_z",-0.255378401144301,0.133976856732376,-1.90613817470303,0.0566322809870644
"Sublegal","statusInside NPZ:year2026",-0.0292384807929904,0.532824257426593,-0.0548745301766194,0.956238423271333
"Legal male","(Intercept)",0.168480414707611,0.127609564245599,1.32028046411436,0.1867413956202
"Legal male","statusInside NPZ",0.245376276024264,0.195636352833352,1.25424683332387,0.209752301987694
"Legal male","year2026",-1.18384104639576,0.256747935400742,-4.61090775490747,4.00914422622635e-06
"Legal male","depth_z",0.218208948072051,0.0854213848712396,2.55450023903229,0.0106340356706769
"Legal male","statusInside NPZ:year2026",0.485320456465709,0.358797257359996,1.35263145553748,0.176173398170824
"Legal female","(Intercept)",0.633651397985921,0.132075885354407,4.79763127300344,1.60552985029594e-06
"Legal female","statusInside NPZ",0.186071960355901,0.20721839570429,0.897950974494725,0.369211686919364
"Legal female","year2026",-1.18228675760123,0.252299863346356,-4.68603804187634,2.78544511679981e-06
"Legal female","depth_z",0.268304141396178,0.0949427246941162,2.82595788419379,0.00471394615011148
"Legal female","statusInside NPZ:year2026",0.253135621665824,0.374794931752222,0.675397664750634,0.499423148772225
